V0000367106	木星（もくせい） あの上の方で光っている星は木星だ
V0000367107	申し訳ないんですが （もうしわけないんですか） 眞子さん、申し訳ないんですがお金を少し貸してもらえませんか
P0000157591	国民（こくみん） 人民（じんみん）
P0000157591	日本国民 国民の祝日
V0000367108	廃墟（はいきょ） 廃墟になる/と化す(かする) 町は今，廃墟になっている
V0000367109	明け方（あけがた） 赤ん坊は明け方近くに生まれた
V0000367110	盆踊り（ぼんおどり）
V0000367111	海流（かいりゅう） 日本海流
V0000367112	垂直（な/の）（すいちょく） 水平（な/の）（すいへい） その崖（がけ）はほとんど垂直です
V0000367113	読み物（よみもの） この本は面白い読み物です
V0000367114	上る（のぼります）
V0000367115	一言（ひとこと） 一言も言わずに 一言で言うと 終わりに一言
V0000367116	警察署（けいさつしょ） 交番（こうばん） 警察署長
V0000367117	基本的（きほんてき） 犬を飼うための基本的ルールは何ですか
V0000367118	足元（あしもと） あなたは途中ずっと足元を見なければなりません
V0000367119	～と同じぐらい 古代ギリシアは太陽系について私達と同じぐらいよく知っている
V0000367120	葬る（ほうむります） 彼は海に葬られた その国は過去を葬りたかったのだ
V0000367121	エアロビクス
V0000367122	ユニーク（な） ユニークな芸術作品
V0000367123	要約する（ようやく） 彼の演説の要約が新聞に載せられた
V0000367124	客席（きゃくせき） この劇場には500人分の客席がある
V0000367125	（～に）賛成する（さんせい） 私もあなたの意見に賛成です
V0000367126	ユダヤ大虐殺（だいぎゃくさつ）
V0000367127	環状道路（かんじょうどうろ） 環状の（かんじょう）
V0000367128	忙しい仕事（しごと）
V0000367129	所々（ところどころ） あちこち あちらこちら 雪がところどころ残っている
V0000367130	国外（こくがい） 海外（かいがい） 上田さんは主に国外で活躍（かつやく）している
V0000367131	埃（ほこり） 誇り（ほこり）
V0000367132	地上（ちじょう） 地上の事 地上の楽園 地上に/で
V0000367133	鮪（まぐろ）
V0000367134	作成（さくせい） 契約（けいやく）を作成する
V0000367135	どれ 動物でどれが一番好きですか
V0000367136	狂信者（きょうしんしゃ） 狂信（きょうしん） 狂信する
V0000367137	サービス業
