V0000437084	さんがにち
V0000437085	あけましておめでとうございます。
V0000437086	ぞうに
V0000437087	おせちりょうり
V0000437088	おとしだま
V0000437089	ふくろ
V0000437090	にねんまいり
V0000437091	がんたん
V0000437092	ごちそうさま。
V0000437093	かんぱい
V0000437094	おいしい
V0000437095	いただきます。
V0000437096	いただく
V0000437097	かんぱい
V0000437098	なっとう
V0000437099	まあまあ
V0000437100	はじめまして
V0000437101	わたし
V0000437102	よろしく
V0000437103	おねがいします。
V0000437104	やまぐち
V0000437105	わたなべ
V0000437106	はじめまして。
V0000437107	はじめまして。
V0000437108	わたしはやまぐちちぐさです。
V0000437109	わたしはやまぐちちぐさです。
V0000437110	よろしくおねがいします。
V0000437111	よろしくおねがいします。
V0000437112	はじめまして。
V0000437113	はじめまして。
V0000437114	ゴールデンウィークが おわってから、ぜんぜん やるきも でないんだよね。
V0000437115	ゴールデンウィークが おわってから、ぜんぜん やるきも でないんだよね。
V0000437116	あ、おれも！あさ ぜんぜん おきられないし、いちにちじゅう だるいんだよな。
V0000437117	あ、おれも！あさ ぜんぜん おきられないし、いちにちじゅう だるいんだよな。
V0000437118	あ、ばばせんせいだ。
V0000437119	あ、ばばせんせいだ。
V0000437120	こんにちは。
V0000437121	こんにちは。
V0000437122	こんにちは。どうした？ふたりとも、ねむそうなかおして。
V0000437123	こんにちは。どうした？ふたりとも、ねむそうなかおして。
V0000437124	いま、「さいきん なんだか だるくて・・・」というはなしを していたところだったんですよ。
V0000437125	いま、「さいきん なんだか だるくて・・・」というはなしを していたところだったんですよ。
V0000437126	あー、それは ごがつびょうじゃないですか。
V0000437127	あー、それは ごがつびょうじゃないですか。
V0000437128	ごがつびょう？
V0000437129	ごがつびょう？
V0000437130	そう。だいがく いちねんの しがつは、あたらしいことばかりで、 まいにち きんちょうするでしょう。
V0000437131	そう。だいがく いちねんの しがつは、あたらしいことばかりで、 まいにち きんちょうするでしょう。
V0000437132	で、そのつかれが、 ５がつの れんきゅうのあとに、 いっきに でてきたんだよ。
V0000437133	で、そのつかれが、 ５がつの れんきゅうのあとに、 いっきに でてきたんだよ。
V0000437134	どうしたら・・・いいんですか。
V0000437135	どうしたら・・・いいんですか。
V0000437136	あたらしい かんきょうに なれるのは、むずかしいんだから、 あせるひつようは ないよ。
V0000437137	あたらしい かんきょうに なれるのは、むずかしいんだから、 あせるひつようは ないよ。
V0000437138	ま、きらくにね。
V0000437139	ま、きらくにね。
V0000437140	はい！ありがとうございます！
V0000437141	はい！ありがとうございます！
V0000437142	あ、そうそう。 ぼく、 ごがつびょうについての ほんを かいているから、 ほんやで かってね。
V0000437143	あ、そうそう。 ぼく、 ごがつびょうについての ほんを かいているから、 ほんやで かってね。
V0000437144	ごうこん
V0000437145	そうぞうする
V0000437146	はずむ
V0000437147	きょうつう
V0000437148	わだいになる
V0000437149	こうし
V0000437150	りょうりきょうしつ
V0000437151	だらけ
V0000437152	つづく
V0000437153	かんけい
V0000437154	みりょく
V0000437155	しょたいめん
